,0
964,109305.76959000001
965,113019.13959000002
966,114652.57959000002
967,114652.57959000002
968,114652.57959000002
969,114652.57959000002
970,113496.78959000001
971,116958.41959
972,114387.71959000002
973,115051.50959000002
974,118126.91959
975,118126.91959
976,118126.91959
977,116019.51959000001
978,112468.91959
979,115041.66959
980,114979.75959000002
981,116576.29959000001
982,116576.29959000001
983,116576.29959000001
984,118287.63959000002
985,117668.94959
986,117668.94959
987,120789.86959000002
988,119679.58959
989,116329.06959000001
990,116329.06959000001
991,116329.06959000001
992,116822.29959000001
993,117875.99959000002
994,117055.17959000001
995,118398.74959000002
996,120391.75959000002
997,120391.75959000002
998,120391.75959000002
999,120413.07959000002
1000,117944.87959000001
1001,115889.95959000001
1002,117222.45959000001
1003,117681.65959000001
1004,117681.65959000001
1005,117681.65959000001
1006,121380.26959000001
1007,120110.49959000002
1008,122105.96959000002
1009,121158.86959000002
1010,121443.40959000001
1011,121443.40959000001
1012,121443.40959000001
1013,121443.40959000001
1014,122932.52959
1015,124751.28959000001
1016,124488.88959000002
1017,125086.66959
1018,125086.66959
1019,125086.66959
1020,125554.88959000002
1021,126583.57959000002
1022,128307.62959000001
1023,127876.30959
1024,131221.08959
1025,131221.08959
1026,131221.08959
1027,132797.94959
1028,131764.33959000002
1029,131065.69959
1030,123356.05959
1031,124963.66959
1032,124963.66959
1033,124963.66959
1034,126000.14959000002
1035,128384.29959000001
1036,127923.04959000001
1037,127998.89959000002
1038,127277.29959000001
1039,127277.29959000001
1040,127277.29959000001
1041,128102.21959000002
1042,128652.84959000001
1043,125333.48959000001
1044,126704.11959000002
1045,123641.00959000002
1046,123641.00959000002
1047,123641.00959000002
1048,125452.79959000001
1049,127381.84959000001
1050,128020.21959000002
1051,128600.36959000002
1052,128600.36959000002
1053,128600.36959000002
1054,128600.36959000002
1055,130638.47959
1056,129228.07959000002
1057,130237.49959000002
1058,129504.00959000002
1059,130856.59959000001
1060,130856.59959000001
1061,130856.59959000001
1062,129633.97959
1063,131368.27959000002
1064,132558.91959
1065,132108.32959
1066,132483.88959
1067,132483.88959
1068,132483.88959
1069,133595.39959000002
1070,133819.25959000003
1071,134586.77959000002
1072,132932.01959
1073,132110.78959000003
1074,132110.78959000003
1075,132110.78959000003
1076,133085.76959
1077,132225.99959000002
1078,133865.99959000002
1079,133364.97959
1080,134385.87959
1081,134385.87959
1082,134385.87959
1083,135348.96959000002
1084,135836.86959000002
1085,136708.52959000002
1086,137585.51959
1087,137672.43959000002
1088,137672.43959000002
1089,137672.43959000002
1090,138049.22959
1091,136951.24959000002
1092,138864.30959000002
1093,138580.58959000002
1094,138556.80959000002
1095,138556.80959000002
1096,138556.80959000002
1097,138931.54959
1098,139250.93959000002
1099,138638.80959000002
1100,139075.86959000002
1101,139553.51959
1102,139553.51959
1103,139553.51959
1104,140952.43959000002
1105,141458.37959
1106,142897.88959
1107,143136.50959000003
1108,144098.36959000002
1109,144098.36959000002
1110,144098.36959000002
1111,143782.66959
1112,144862.60959
1113,147084.39959000002
1114,141927.41959
1115,140775.31959000003
1116,140775.31959000003
1117,140775.31959000003
1118,140775.31959000003
1119,136875.39959000002
1120,139627.31959000003
1121,137176.74959000002
1122,137249.72959
1123,137249.72959
1124,137249.72959
1125,138995.09959
1126,139719.15959
1127,139075.04959
1128,137907.36959000002
1129,136368.22959
1130,136368.22959
1131,136368.22959
1132,134793.41959
1133,136208.32959
1134,132983.67959
1135,133380.14959000002
1136,135506.81959000003
1137,135506.81959000003
1138,135506.81959000003
1139,137685.55959000002
1140,137024.22959
1141,138152.95959
1142,138882.75959000003
1143,137555.99959000002
1144,137555.99959000002
1145,137555.99959000002
1146,140023.78959000003
1147,138068.90959
1148,140467.40959
1149,141589.98959
1150,142832.28959000003
1151,142832.28959000003
1152,142832.28959000003
1153,145172.97959
1154,144259.08959000002
1155,143305.42959
1156,143086.89959000002
1157,143106.16959
1158,143106.16959
1159,143106.16959
1160,140773.67959
1161,141437.87959
1162,141127.91959
1163,141863.04959
1164,142350.94959
1165,142350.94959
1166,142350.94959
1167,139709.72959
1168,139287.83959000002
1169,134382.18959000002
1170,135984.46959000002
1171,134338.31959000003
1172,134338.31959000003
1173,134338.31959000003
1174,135989.79959
1175,138405.51959
1176,141450.99959000002
1177,144198.40959
1178,144156.99959000002
1179,144156.99959000002
1180,144156.99959000002
1181,145840.45959
1182,145636.68959000002
1183,146749.01959
1184,145287.36959000002
1185,147261.10959
1186,147261.10959
