Date,Open,High,Low,Close,correlation
2022-03-20,4407.34,4465.4,4390.57,4463.12,0.7704587197104346
2022-03-21,4462.4,4481.75,4424.3,4461.18,0.8175471544779838
2022-03-22,4469.1,4522.0,4469.1,4511.61,0.8404127530806171
2022-03-23,4493.1,4501.07,4455.81,4456.24,0.8591863388470815
2022-03-24,4469.98,4520.58,4465.17,4520.16,0.8801957545586171
2022-03-25,4522.91,4546.03,4501.07,4543.06,0.8742399077136921
2022-03-26,4522.91,4546.03,4501.07,4543.06,0.8474884260332155
2022-03-27,4522.91,4546.03,4501.07,4543.06,0.7909853831227226
2022-03-28,4541.09,4575.65,4517.69,4575.52,0.8165999563315025
2022-03-29,4602.86,4637.3,4589.66,4631.6,0.8039645638518458
2022-03-30,4624.2,4627.77,4581.32,4602.45,0.8473980891696906
2022-03-31,4599.02,4603.07,4530.41,4530.41,0.7990311907847089
2022-04-01,4540.32,4548.7,4507.57,4545.86,0.7487271044681254
2022-04-02,4540.32,4548.7,4507.57,4545.86,0.6833095232004762
2022-04-03,4540.32,4548.7,4507.57,4545.86,0.6068187155757596
2022-04-04,4547.97,4583.5,4539.21,4582.64,0.3707371264476378
2022-04-05,4572.45,4593.45,4514.17,4525.12,0.32729295910656064
2022-04-06,4494.17,4503.94,4450.04,4481.15,0.19269715491815212
2022-04-07,4474.65,4521.16,4450.3,4500.21,0.17188841119227674
2022-04-08,4494.15,4520.41,4474.6,4488.28,0.27484191658330187
2022-04-09,4494.15,4520.41,4474.6,4488.28,0.4161546809259929
2022-04-10,4494.15,4520.41,4474.6,4488.28,0.49318938758800773
2022-04-11,4462.64,4464.35,4408.38,4412.53,0.5208797906885717
2022-04-12,4437.59,4471.0,4381.34,4397.45,0.6696879206432278
2022-04-13,4394.3,4453.92,4392.7,4446.59,0.6542380741449559
2022-04-14,4449.12,4460.46,4390.77,4392.59,0.6571391667598324
2022-04-15,4449.12,4460.46,4390.77,4392.59,0.6673208254393178
2022-04-16,4449.12,4460.46,4390.77,4392.59,0.6485620467841717
2022-04-17,4449.12,4460.46,4390.77,4392.59,0.55699470334048
2022-04-18,4385.63,4410.31,4370.3,4391.69,0.5492831657153102
2022-04-19,4390.63,4471.03,4390.63,4462.21,0.3635596156154028
2022-04-20,4472.26,4488.29,4448.76,4459.45,0.21979758759908208
2022-04-21,4489.17,4512.94,4384.47,4393.66,0.031909217950916946
2022-04-22,4385.83,4385.83,4267.62,4271.78,0.1293773591614846
2022-04-23,4385.83,4385.83,4267.62,4271.78,0.22337756024351973
2022-04-24,4385.83,4385.83,4267.62,4271.78,0.4827818233807244
2022-04-25,4255.34,4299.02,4200.82,4296.12,0.5336878764203749
2022-04-26,4278.14,4278.14,4175.04,4175.2,0.5122149390859845
2022-04-27,4186.52,4240.71,4162.9,4183.96,0.6013082590179355
2022-04-28,4222.58,4308.45,4188.63,4287.5,0.5510290821486057
2022-04-28,4222.58,4308.45,4188.63,4287.5,0.5489370921745124
2022-04-29,4253.75,4269.68,4124.28,4131.93,0.5277845508085893
2022-04-30,4253.75,4269.68,4124.28,4131.93,0.5524087754871163
2022-05-01,4253.75,4269.68,4124.28,4131.93,0.39059125917624055
2022-05-02,4130.61,4169.81,4062.51,4155.38,0.3446072917448975
2022-05-03,4159.78,4200.1,4147.08,4175.48,0.26062306159073867
2022-05-04,4181.18,4307.66,4148.91,4300.17,-0.067651781332292
2022-05-05,4270.43,4270.43,4106.01,4146.87,0.06344953408539059
2022-05-06,4128.17,4157.69,4067.91,4123.34,0.2088558243531973
2022-05-07,4128.17,4157.69,4067.91,4123.34,0.2904192766974047
2022-05-08,4128.17,4157.69,4067.91,4123.34,0.3082543259371956
2022-05-09,4081.27,4081.27,3975.48,3991.24,0.5624880033240766
2022-05-10,4035.18,4068.82,3958.17,4001.05,0.6517638226712663
2022-05-11,3990.08,4049.09,3928.82,3935.18,0.6979080122220773
2022-05-12,3903.95,3964.8,3858.87,3930.08,0.6807692208820902
2022-05-13,3963.9,4038.88,3963.9,4023.89,0.7098024469167897
2022-05-14,3963.9,4038.88,3963.9,4023.89,0.7297499115975937
2022-05-15,3963.9,4038.88,3963.9,4023.89,0.7895085748306913
2022-05-16,4013.02,4046.46,3983.99,4008.01,0.8113771092148827
2022-05-17,4052.0,4090.72,4033.93,4088.85,0.7650645011867109
2022-05-18,4051.98,4051.98,3911.91,3923.68,0.5904298671780566
2022-05-19,3899.0,3945.96,3876.58,3900.79,0.42623751290398676
2022-05-20,3927.76,3943.42,3810.32,3901.36,0.35210288536532625
2022-05-21,3927.76,3943.42,3810.32,3901.36,0.005012231752837348
2022-05-22,3927.76,3943.42,3810.32,3901.36,-0.10665357836365637
2022-05-23,3919.42,3981.88,3909.04,3973.75,-0.08417713681646206
2022-05-24,3942.94,3955.68,3875.13,3941.48,-0.006447330338628616
2022-05-25,3929.59,3999.33,3925.03,3978.73,-0.004444610072207487
2022-05-26,3984.6,4075.14,3984.6,4057.84,-0.04028145318885247
2022-05-27,4077.25,4158.49,4077.43,4158.24,0.038401968733623525
2022-05-28,4077.25,4158.49,4077.43,4158.24,0.012497833480941203
2022-05-29,4077.25,4158.49,4077.43,4158.24,-0.10488997393614719
2022-05-30,4077.25,4158.49,4077.43,4158.24,-0.17524485485124808
2022-05-31,4151.09,4168.34,4104.88,4132.15,-0.28804310690579926
2022-06-01,4149.78,4166.54,4073.85,4101.23,-0.27018196118821053
2022-06-02,4095.41,4177.51,4074.37,4176.82,-0.17682065233465688
2022-06-03,4137.57,4142.67,4098.67,4108.54,-0.03421433109910496
2022-06-04,4137.57,4142.67,4098.67,4108.54,0.20443747734794737
2022-06-05,4137.57,4142.67,4098.67,4108.54,0.550461629607776
2022-06-06,4134.72,4168.78,4109.18,4121.43,0.531146275740966
2022-06-07,4096.47,4164.86,4080.19,4160.68,0.16579333307670446
2022-06-08,4147.12,4160.14,4107.2,4115.77,0.18164973824332215
2022-06-09,4101.65,4119.1,4017.17,4017.82,0.6408549385015087
2022-06-10,3974.39,3974.39,3900.16,3900.86,0.8489624082541793
2022-06-11,3974.39,3974.39,3900.16,3900.86,0.8998639674674309
2022-06-12,3974.39,3974.39,3900.16,3900.86,0.9174803179752484
2022-06-13,3838.15,3838.15,3734.3,3749.63,0.9267839064639972
2022-06-14,3763.52,3778.18,3705.68,3735.48,0.9310245219948904
2022-06-15,3764.05,3837.56,3722.3,3789.99,0.9419417094048881
2022-06-16,3728.18,3728.18,3639.77,3666.77,0.9157795652230908
2022-06-17,3665.9,3707.71,3636.87,3674.84,0.9102920290042518
2022-06-18,3665.9,3707.71,3636.87,3674.84,0.9046486876943248
2022-06-19,3665.9,3707.71,3636.87,3674.84,0.9088662660927183
2022-06-20,3665.9,3707.71,3636.87,3674.84,0.9043112225912198
2022-06-21,3715.31,3779.65,3715.31,3764.79,0.8501564660625729
2022-06-22,3733.89,3801.79,3717.69,3759.89,0.7132044282463268
2022-06-23,3774.71,3802.58,3743.52,3795.73,0.4986956348069021
2022-06-24,3821.75,3913.65,3821.75,3911.74,0.4757911046306597
2022-06-25,3821.75,3913.65,3821.75,3911.74,0.3800269536961574
2022-06-26,3821.75,3913.65,3821.75,3911.74,0.16740106189319318
2022-06-27,3920.76,3927.72,3889.66,3900.11,0.05348329351450944
2022-06-28,3913.0,3945.86,3820.14,3821.55,-0.0020234091904111767
2022-06-29,3825.09,3836.5,3799.02,3818.83,-0.018380121760921724
2022-06-30,3785.99,3818.99,3738.67,3785.38,-0.023122206090139517
2022-07-01,3781.08,3829.82,3752.1,3825.33,-0.02148217667283718
2022-07-02,3781.08,3829.82,3752.1,3825.33,-0.03602780643628842
2022-07-03,3781.08,3829.82,3752.1,3825.33,-0.26671878529016024
2022-07-04,3781.08,3829.82,3752.1,3825.33,-0.32464206608900353
2022-07-05,3792.61,3832.19,3742.06,3831.39,-0.23220112628931655
2022-07-06,3831.98,3870.91,3809.37,3845.08,-0.04854059598372566
2022-07-07,3858.85,3910.63,3858.85,3902.62,0.065644334318498
2022-07-08,3888.26,3918.5,3869.34,3899.38,-0.08305883095596096
2022-07-09,3888.26,3918.5,3869.34,3899.38,-0.22196160421318042
2022-07-10,3888.26,3918.5,3869.34,3899.38,-0.19889688238173414
2022-07-11,3880.94,3880.94,3847.22,3854.43,-0.10147172801570363
2022-07-12,3851.95,3873.41,3802.36,3818.8,-0.24253468348046822
2022-07-13,3779.67,3829.44,3759.07,3801.78,-0.4635607212483039
2022-07-14,3763.99,3796.41,3721.56,3790.38,-0.7858423307984584
2022-07-15,3818.0,3863.62,3817.18,3863.16,-0.4397170299268926
2022-07-16,3818.0,3863.62,3817.18,3863.16,-0.3638909172206691
2022-07-17,3818.0,3863.62,3817.18,3863.16,-0.3320005218015507
2022-07-18,3883.79,3902.44,3818.63,3830.85,-0.3942220349132447
2022-07-19,3860.73,3939.81,3860.73,3936.69,-0.19193279162311486
2022-07-20,3935.32,3974.13,3922.03,3959.9,-0.023655980397731435
2022-07-21,3955.47,3999.29,3927.64,3998.95,0.20061529550465593
2022-07-22,3998.43,4012.44,3938.86,3961.63,0.2685153188635997
2022-07-23,3998.43,4012.44,3938.86,3961.63,0.3661081397382218
2022-07-24,3998.43,4012.44,3938.86,3961.63,0.5385087434342495
